,review,sentiments,word_count,clean_review,polarity
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0,21,way plug u unless go,0.0
1,"Good case, Excellent value.",1,4,good case excel valu,0.7
2,Great for the jawbone.,1,4,great jawbon,0.8
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,11,charger convers last minut major problem,0.03125
4,The mic is great.,1,4,mic great,0.8
5,I have to jiggle the plug to get it to line up right to get decent volume.,0,17,plug get line right get decent volum,0.22619047619047616
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,21,sever dozen sever contact imagin fun send one one,0.3
7,If you are Razr owner...you must have this!,1,8,razr owner must,0.0
8,"Needless to say, I wasted my money.",0,7,needle say wast money,0.0
9,What a waste of money and time!.,0,7,wast money time,0.0
10,And the sound quality is great.,1,6,sound qualiti great,0.6000000000000001
11,He was very impressed when going from the original battery to the extended battery.,1,14,impress go origin batteri extend batteri,0.0
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,22,two start notic static sound headset,0.45
13,Very good quality though,1,4,good qualiti though,0.7
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,15,design odd ear clip comfort,-0.16666666666666666
15,Highly recommend for any one who has a blue tooth phone.,1,11,highli recommend one blue tooth phone,0.0
16,I advise EVERYONE DO NOT BE FOOLED!,0,7,advis everyon,0.0
17,So Far So Good!.,1,4,far good,0.39999999999999997
18,Works great!.,1,2,work great,0.8
19,Works great!.,1,2,work great,0.8
20,It clicks into place in a way that makes you wonder how long that mechanism would last.,0,17,place way make wonder long would last,-0.025
21,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,17,went motorola websit could get pair,0.0
22,I bought this to use with my Kindle Fire and absolutely loved it!,1,13,bought use fire absolut love,0.5
23,The commercials are the most misleading.,0,6,,0.0
24,I have yet to run this new battery below two bars and that's three days without charging.,1,17,yet run new batteri two bar three day without charg,0.13636363636363635
25,I bought it for my mother and she had a problem with the battery.,0,14,bought mother problem batteri,0.0
26,Great Pocket PC / phone combination.,1,6,great pocket pc phone combin,0.8
27,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,19,own phone month say best mobil phone,0.8
28,I didn't think that the instructions provided were helpful to me.,0,11,think instruct provid help,0.0
29,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,18,peopl hear talk pull talk phone,0.0
30,Doesn't hold charge.,0,3,hold charg,0.0
31,"This is a simple little phone to use, but the breakage is unacceptible.",0,13,simpl littl phone use,0.0
32,This product is ideal for people like me whose ears are very sensitive.,1,13,product peopl like ear,0.0
33,It is unusable in a moving car at freeway speed.,0,10,unus move car speed,0.0
34,I have two more years left in this contract and I hate this phone.,0,14,two year left contract hate phone,-0.4
35,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,19,car charger well charger includ make sure never run juic recommend,0.5
36,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,24,need least get phone book time first turn phone batteri life short,-0.016666666666666663
37,It has kept up very well.,1,6,kept well,0.0
38,Poor Talk Time Performance.,0,4,poor talk time perform,-0.4
39,The case is great and works fine with the 680.,1,10,case great work fine,0.6083333333333334
40,worthless product.,0,2,worthless product,-0.8
41,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,18,great camera that mp nice clear great pictur qualiti,0.575
42,I was not impressed by this product.,0,7,impress product,0.0
43,Nice headset priced right.,1,4,nice headset price right,0.44285714285714284
44,I only hear garbage for audio.,0,6,hear garbag audio,0.0
45,Excellent bluetooth headset.,1,3,excel bluetooth headset,0.0
46,It has all the features I want,1,7,featur want,0.0
47,Who in their right mind is gonna buy this battery?.,0,10,right mind gonna buy batteri,0.2857142857142857
48,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,15,verizon regard drop call return phone two day,0.0
49,This case seems well made.,1,5,case seem well made,0.0
50,Disappointed with battery.,0,3,disappoint batteri,0.0
51,Not loud enough and doesn't turn on like it should.,0,10,loud enough turn like,0.05
52,good protection and does not make phone too bulky.,1,9,good protect make phone,0.7
53,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,18,keyboard actual turn pda real world machin instead neat gadget,0.1
54,This phone is pretty sturdy and I've never had any large problems with it.,1,14,phone pretti sturdi never larg problem,0.0
55,I love this thing!,1,4,love thing,0.5
56,Everything about it is fine and reasonable for the price i.e.,1,11,everyth fine reason price e,0.4166666666666667
57,VERY DISAPPOINTED.,0,2,disappoint,0.0
58,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,20,even drop phone second still work great,0.4
59,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,23,happi complaint one regard sound qualiti end,0.05000000000000002
60,The buttons for on and off are bad.,0,8,button bad,-0.6999999999999998
61,Essentially you can forget Microsoft's tech support.,0,7,essenti forget microsoft tech support,0.0
62,"I really recommend this faceplates since it looks very nice, elegant and cool.",1,13,realli recommend sinc look nice eleg cool,0.475
63,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,25,headphon great find think perhap best purchas made last sever year serious,0.3666666666666667
64,Buy a different phone - but not this.,0,8,buy differ phone,0.0
65,You have to hold the phone at a particular angle for the other party to hear you clearly.,0,18,hold phone particular angl parti hear clearli,0.16666666666666666
66,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,30,one big mp player button phone front cover let skip song lock second,0.0
67,"A week later after I activated it, it suddenly died.",0,10,week later die,0.0
68,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,18,feel comfort headset wear glass get way sometim,0.0
69,Great for iPODs too.,1,4,great,0.8
70,This device is great in several situations:1.),1,7,devic great sever situat,0.8
71,Mic Doesn't work.,0,3,mic work,0.0
72,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,20,even seri fairli quiet troubl person say,0.0
73,Great choice!,1,2,great choic,0.8
74,Nice docking station for home or work.,1,7,nice dock station home work,0.6
75,This is a beautiful phone.,1,5,beauti phone,0.0
76,Love this product.,1,3,love product,0.5
77,Do Not Buy for D807...wrongly advertised for D807.,0,8,buy advertis,0.0
78,This is a great little item.,1,6,great littl item,0.8
79,"I love this phone , It is very handy and has a lot of features .",1,16,love phone handi lot featur,0.5
80,I purchased this and within 2 days it was no longer working!!!!!!!!!,0,12,purchas within day longer work,0.0
81,I wear it everyday and it holds up very well.,1,10,wear hold well,0.0
82,Not a good bargain.,0,4,good bargain,0.7
83,"Well packaged, arrived on time, and works as intended.",1,9,well packag arriv time work,0.0
84,The battery runs down quickly.,0,5,batteri quickli,0.0
85,"This item worked great, but it broke after 6 months of use.",0,12,item work great broke month use,0.8
86,The headsets are easy to use and everyone loves them.,1,10,headset easi use everyon love,0.5
87,This phone works great.,1,4,phone work great,0.8
88,The construction of the headsets is poor.,0,7,construct headset poor,-0.4
89,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,15,product excel work better verizon one boy cheaper,0.5
90,The phone loads super!,1,4,phone load super,0.3333333333333333
91,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,26,product cost much one expect work far better ea thing,0.26666666666666666
92,Made very sturdy.,1,3,made sturdi,0.0
93,Worked great!.,1,2,work great,0.8
94,The ear buds only play music in one ear.,0,9,ear play music one ear,0.0
95,Dont waste your money...,0,4,dont wast money,0.0
96,Will order from them again!,1,5,order,0.0
97,If you plan to use this in a car forget about it.,0,12,plan use car forget,0.0
98,I found this product to be waaay too big.,0,9,found product big,0.0
99,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,30,best found far tri one best qualiti well ea use,0.7000000000000001
100,I'm very disappointed with my decision.,0,6,disappoint decis,0.0
101,Integrated seamlessly with the Motorola RAZR phone.,1,7,seamlessli motorola razr phone,0.0
102,"Buyer Beware, you could flush money right down the toilet.",0,10,buyer bewar could money right,0.2857142857142857
103,Definitely a bargain.,1,3,definit bargain,0.0
104,The price was very good and with the free shipping and all it was a good purchase.,1,17,price good free ship good purchas,0.6
105,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,20,receiv supposedli new motorola appar match phone charger,0.13636363636363635
106,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,17,pro good camera nice pictur also cool like black white,0.29666666666666663
107,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,18,huge design flaw unless use think case,0.4000000000000001
108,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,24,love headset jabra bluetooth headset great recept good ear piec comfort fit,0.6
109,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,22,camera although rate impress fall well expect rel high resolut,0.16
110,I purcashed this for the car charger and it does not work.,0,12,car charger work,0.0
111,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,25,sound qualiti end excel use headset call wife ask wife use headset call,0.4
112,This phone is slim and light and the display is beautiful.,1,11,phone slim light display beauti,0.4
113,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,28,littl think that sex toast rock sex right batteri sleek leather case,0.2857142857142857
114,"Great product, fast shipping!.",1,4,great product fast ship,0.5
115,Absolutely great.,1,2,absolut great,0.8
